French,English
voiture,car
discussion,discussion
sentiment,feeling
tâche,"task, chore"
directement,directly
euh,"er, um, uh"
raconter,"(to) tell, narrate | telling, narrating"
décembre,December
développer,(to) develop | developing
fruit,fruit
ouvert,open (m)
avantage,advantage
historique,"historic (m, f)"
probablement,probably
voyage,"trip, journey"
sept,seven
vérité,truth
commercial,"commercial, shopping (m)"
critique,"criticism, critic"
culture,culture
cacher,(to) hide | hiding
prêter,(to) lend | lending
définir,"(to) define, defining"
client,"customer, client"
progrès,progress
secrétaire,secretary
mer,sea
liste,list
rentrer,"(to) go in, come in, come back (in), go back (in) | going in, coming in, coming back (in), going back (in)"
mémoire,memory
détruire,(to) destroy | destroying
nécessité,"necessity, need"
juin,June
danger,danger
commerce,"trade, commerce"
transport,transportation
attente,wait
janvier,January
mai,May
septembre,September
environnement,environment
séparer; se séparer,(to) separate | separating; (to) break up | breaking up
positif,positive (m)
scientifique,scientist
papier,paper
protection,protection
indépendant,independent (m)
carte,"menu, map, card"
association,association
commander; commander à … de + infinitive,(to) order | ordering; (to) tell someone + verb | telling someone + verb
étudier,(to) study | studying
complet,"full, complete (m)"
complète,"full, complete (f)"
amour,love
manifester,"(to) protest, demonstrate | protesting, demonstrating"
menacer (de + infinitive),(to) threaten (+ verb) | threatening (+ verb)
conseiller (à … de + infinitive),"(to) advise, recommend (to someone + verb) | advising, recommending (to someone + verb)"
réunion,meeting
maladie,illness
construction,"construction, building"
voisin,neighbour
novembre,November
coûter,(to) cost | costing
presse,press
rouge,"red (m, f)"
majorité,majority
bord,"edge, side"
central,central (m)
éducation,education
officiel,official (m)
document,document
retourner,"(to) return, go back, turn over, turn around | returning, going back, turning over, turning around"
professionnel,professional (m)
animal,"animal, pet"
animaux,"animals, pets"
utile,"useful (m, f)"
inscrire; s'inscrire à + noun,"(to) write down | writing down; (to) join + noun, enrol in + noun | joining + noun, enrolling in + noun"
concurrence,competition
mille,thousand
absolument,absolutely
complètement,completely
salaire,"salary, wage"
lecture,reading
contribuer,(to) contribute | contributing
attaquer,(to) attack | attacking
table,table
avril,April
autrement,"differently, another way"
ferme,"farm, firm"
lourd,heavy (m)
république,republic
dur*,hard (m)
dur**,hard
application/appli,application/app
lutter,"(to) fight, struggle | fighting, struggling"
contenir,"(to) contain, include | containing, including"
communication,communication
manque,lack
échec,failure
traverser,(to) cross | crossing
transformer (en + noun),(to) transform (into + noun) | transforming (into + noun)
frère,brother
mardi; à mardi !,Tuesday; see you on Tuesday!
vote,vote
renvoyer,"(to) send back, resend | sending back, resending"
regretter,"(to) be sorry, regret | being sorry, regretting"
espèce,species
réagir,(to) react | reacting
surprendre,(to) surprise | surprising
améliorer,(to) improve | improving
réfléchir (à + noun),"(to) reflect (on), think (about) | reflecting (on), thinking (about)"
lumière,light
vert,green (m)
apprécier,"(to) appreciate, like | appreciating, liking"
sensible,"sensitive (m, f)"
étudiant,student
vitesse,speed
malade,"ill (m, f)"
élève,"pupil, student (m, f)"
contrôler,"(to) check, inspect, control | checking, inspecting, controlling"
merci,thank you
certainement,certainly
visite,"visit, tour"
émission,TV programme
arrivée,arrival
puissance,power
partenaire,partner
perte,loss
libéral,liberal (m)
citoyen,citizen
influence,influence
établissement,"establishment, organisation"
vendredi; à vendredi !,Friday; see you on Friday!
causer,(to) cause | causing
nord,north
lundi; à lundi !,Monday; see you on Monday!
vente,sale
soldat,soldier
collègue,colleague
voici,here is
examiner,(to) examine | examining
soin,care
traitement,treatment
jeudi; à jeudi !,Thursday; see you on Thursday!
science,science
individu,individual
demi,half 
mériter (de + infinitive); se mériter,(to) deserve (+ verb) | deserving (+ verb); (to) have earned | having earned
emprunter (à ...),(to) borrow (from someone) | borrowing (from someone)
traduire,(to) translate | translating
sang,blood
millier,thousand
emporter,"(to) take with, take away | taking with, taking away"
nucléaire,"nuclear (m, f)"
industriel,industrial (m)
vif,lively (m)
exact,"exact, correct (m)"
février,February
mode,"way, fashion"
musique,music
étape,"stage, step"
physique,physics
parfaitement,perfectly
professeur/prof,teacher (m)
distribuer,"(to) hand out, give out | handing out, giving out"
global,global (m)
dommage !,what a shame!
note,"mark, grade"
règlement,"rule, regulation"
couple,couple
mercredi; à mercredi !,Wednesday; see you on Wednesday!
régional,regional (m)
sortie,exit
décrire,(to) describe | describing
récent,recent (m)
télévision/télé,television/TV
art,art
frontière,border
égal,equal (m)
promesse,promise
habiter,(to) live (somewhere) | living (somewhere)
quartier,"district, quarter"
avocat,lawyer (m)
vivant,"alive, living (m)"
université,university
rire,(to) laugh | laughing
ris | ris !,(I) laugh | (I) am laughing | (I) have been laughing | (you (sing informal)) laugh | (you (sing informal)) are laughing | (you (sing informal)) have been laughing | laugh! (sing informal)
rit,"(she, he, it, one) laughs | (she, he, it, one) is laughing | (she, he, it, one) has been laughing | (we (informal, impersonal)) laugh | (we (informal, impersonal)) are laughing | (we (informal, impersonal)) have been laughing"
(aux) ri,"laughed | (have, has) laughed"
facilement,easily
soutien,support
urgence,emergency
clé,key
jeter,(to) throw | throwing
religieux,religious (m)
disponible,"available (m, f)"
prévenir,"(to) let know, warn | letting know, warning"
bientôt; à bientôt !     ,soon; see you soon!
mariage,"marriage, wedding"
couleur,colour
sauver; se sauver,"(to) rescue, save | rescuing, saving; (to) escape, get away | escaping, getting away"
bleu,blue (m)
dehors,outside
remercier,(to) thank | thanking
actif,"active, energetic (m)"
habitude,habit
récemment,recently
excellent,excellent (m)
moral,moral (m)
accident,accident
puissant,powerful (m)
fabriquer,"(to) manufacture, produce, make | manufacturing, producing, making"
rare,"rare (m, f)"
extraordinaire,"extraordinary (m, f)"
dimanche; à dimanche !,Sunday; see you on Sunday!
enregistrer,"(to) record, save | recording, saving"
moderne,"modern (m, f)"
parc,park
impôt,tax
sud,south
efficace,"efficient, effective (m, f)"
intéressant,interesting (m)
île,island
cité,council estate
carrière,career
voter,(to) vote | voting
libération,liberation
nourrir,(to) feed | feeding
bras,arm
rechercher,"(to) look for, collect | looking for, collecting"
lendemain,next day
roman,novel
facteur,postman
policier,policeman
policière,policewoman
échelle,"ladder, scale"
pratiquer,"(to) do, play, practise (a language)|doing, playing, practising (a language)"
pensée,thought
bénéficier de + noun,"(to) get, receive, benefit from + noun | getting, receiving, benefitting from + noun"
vingt,twenty
retard,delay
démocratie,democracy
silence,silence
bateau,"boat, ship"
printemps,spring
course,"race, shopping"
courses,food shopping
exercice,"written exercise, physical exercise"
visage,face
droite,right
village,village
britannique,"British (m, f)"
leçon,lesson
décevoir,(to) disappoint | disappointing
déçois | déçois !,(I) disappoint | (I) am disappointing | (I) have been disappointing | (you (sing informal)) disappoint | (you (sing informal)) are disappointing | (you (sing informal)) have been disappointing | disappoint! (sing informal)
déçoit,"(she, he, it, one) disappoints | (she, he, it, one) is disappointing | (she, he, it, one) has been disappointing | (we (informal, impersonal)) disappoint | (we (informal, impersonal)) are disappointing | (we (informal, impersonal)) have been disappointing"
(aux) déçu,"disappointed | (have, has) disappointed"
bataille,battle
naissance,birth
froid,cold (m)
hôpital,hospital
hôpitaux,hospitals
terrible,"terrible, dreadful (m)"
rêve,dream
inspirer; s'inspirer de + noun,(to) inspire | inspiring; (to) be inspired by + noun | being inspired by + noun
entièrement,"entirely, completely"
chapitre,chapter
quotidien,daily (m)
après-midi,afternoon
juillet,July
ordinaire,"ordinary (m, f)"
candidat,candidate
fier,proud (m)
habitant,resident (m)
mur,wall
journaliste,journalist
manger,(to) eat | eating
évidemment,obviously
travailleur,hard-working (m)
travailleuse,hard-working (f)
marque,"brand, mark"
utilisation,use
populaire,"popular (m, f)"
participation,participation
évolution,evolution
gérer,"(to) manage, handle, deal with | managing, handling, dealing with"
samedi; à samedi !,Saturday; see you on Saturday!
fou,crazy (m)
folle,crazy (f)
asseoir; s'asseoir,(to) sit | sitting; (to) sit down | sitting down
assieds/assois | assieds !/assois !; m'assieds/m'assois | t'assieds/t'assois | t'assieds !/t'assois !,(I) sit | (I) am sitting | (I) have been sitting | (you (sing informal)) sit | (you (sing informal)) are sitting | (you (sing informal)) have been sitting | sit! (sing informal); (I) sit down | (I) am sitting down | (I) have been sitting down | (you (sing informal)) sit down | (you (sing informal)) are sitting down | (you (sing informal)) have been sitting down | sit down! (sing informal)
assied/assoit; s'assied/s'assoit,"(she, he, it, one) sits | (she, he, it, one) is sitting | (she, he, it, one) has been sitting | (we (informal, impersonal)) sit | (we (informal, impersonal)) are sitting | (we (informal, impersonal)) have been sitting; (she, he, it, one) sits down | (she, he, it, one) is sitting down | (she, he, it, one) has been sitting down | (we (informal, impersonal)) sit down | (we (informal, impersonal)) are sitting down | (we (informal, impersonal)) have been sitting down"
(aux) assis | s'(aux) assis,"sat | (have, has) sat; sat down | (have, has) sat down"
roi,king
téléphone,telephone
foi,faith
tradition,tradition
victoire,victory
arrêt,stop
concours,"entrance exam, competition"
visiter,(to) visit | visiting
elle-même,herself
démocratique,"democratic (m, f)"
largement,widely
désirer,"(to) want, desire | wanting, desiring"
côte,coast
génération,generation
vent,wind
technologie,technology
inquiéter; s'inquiéter (de + noun),"(to) bother, disturb | bothering, disturbing; (to) be worried (about + noun) | being worried (about + noun)"
inquiet,"worried, anxious (m)"
inquiète,"worried, anxious (f)"
ressembler à + noun; se ressembler,(to) look like + noun | looking like + noun; (to) look alike | looking alike
station,station
supporter,"(to) tolerate, bear, put up with | tolerating, bearing, putting up with"
propriétaire,owner
avion,aeroplane
photo,photo
centaine,hundred
explication,explanation
appareil,"apparatus, device"
bois*,wood
idéal,ideal (m)
chômage,unemployment
courage,courage
entretien,"interview, maintenance"
encourager (à + infinitive),(to) encourage (+ verb) | encouraging (+ verb)
kilomètre,kilometre
identité,identity
contexte,context
août,August
courir,(to) run | running
cours** | cours !**,(I) run | (I) am running | (I) have been running | (you (sing informal)) run | (you (sing informal)) are running | (you (sing informal)) have been running | run! (sing informal)
court**,"(she, he, it, one) runs | (she, he, it, one) is running | (she, he, it, one) has been running | (we (informal, impersonal)) run | (we (informal, impersonal)) are running | (we (informal, impersonal)) have been running"
(aux) couru,"ran | (have, has) run"
examen,exam
personnage,"character, individual, person"
ouverture,opening
tableau,"board, picture, painting"
site,site
durée,"length, duration"
élire,(to) elect | electing
(aux) élu,"elected | (have, has) elected"
inquiétude,"worry, anxiety"
pareil,the same (m)
pareille,the same (f)
quinze,fifteen
vide,"empty (m, f)"
essai,"attempt, try, test"
sourire,(to) smile | smiling
souris | souris !,(I) smile | (I) am smiling | (I) have been smiling | (you (sing informal)) smile | (you (sing informal)) are smiling | (you (sing informal)) have been smiling | smile! (sing informal)
sourit,"(she, he, it, one) smiles | (she, he, it, one) is smiling | (she, he, it, one) has been smiling  (we (informal, impersonal)) smile | (we (informal, impersonal)) are smiling | (we (informal, impersonal)) have been smiling"
(aux) souri,"smiled | (have, has) smiled"
interrompre,"(to) interrupt, halt | interrupting, halting"
usine,factory
unir,"(to) unite, join | uniting, joining"
employé,"employee, worker"
évident,obvious (m)
comportement,behaviour
fête,"party, festival"
sol,"floor, ground"
vague,wave
réduction,reduction
culturel,cultural (m)
coopération,cooperation
leader,leader
taille,"size, height"
contenu,contents
distance,distance
automne,autumn
diminuer,"(to) lower, decrease | lowering, decreasing"
juif,Jewish (m)
communiquer,"(to) pass on, communicate | passing on, communicating"
démontrer,(to) demonstrate | demonstrating
négatif,negative (m)
bruit,noise
humanité,humanity
radio,radio
moi-même,myself
soirée,evening
vol,"flight, theft"
marcher,"(to) walk, work | walking, working"
mètre,metre
occidental,western (m)
suffisant,sufficient (m)
ciel,sky
tromper; se tromper,"(to) cheat, deceive | cheating, deceiving; (to) make a mistake | making a mistake"
seconde,"second, year 11"
malheureusement,unfortunately
extrêmement,extremely
effectivement,effectively
gaz,gas
acteur,actor (m)
adapter; s'adapter,"(to) adapt, adjust | adapting, adjusting; (to) get used to | getting used to"
cour,"courtyard, playground"
souci,"worry, concern"
expert,expert
sœur,sister
relativement,relatively
comparer,(to) compare | comparing
conscient,"conscious, aware (m)"
médical,medical (m)
colère,anger
patient,patient (m)
siège,"seat, bench"
traditionnel,traditional (m)
quart,quarter
catholique,"Catholic (m, f)"
adulte,adult
métier,"job, occupation"
peser,(to) weigh | weighing
médias,media
hiver,winter
définition,definition
mari,husband
garçon,"boy, waiter"
parfait,perfect (m)
quatrième,year 9
fenêtre,window
hésiter,"(to) be unsure, hesitate | being unsure, hesitating"
menace,threat
jeunesse,youth
voler (à ...),"(to) fly, steal (from someone) | flying, stealing (from someone)"
inutile,"useless (m, f)"
poisson,fish
révolution,revolution
avouer,"(to) admit to, confess to | admitting to, confessing to"
familial,family (m)
cinéma,cinema
enseignement,"education, teaching"
étonnant,"surprising, amazing, incredible (m)"
dizaine,approximately ten
instruction,"instruction, direction"
oser,(to) dare | daring
corriger,"(to) correct, mark | correcting, marking"
désir,desire
prier,(to) pray | praying
trente,thirty
instrument,instrument
indépendance,independence
tort,wrong
critiquer,(to) criticise | criticising
attaque,attack
drogue,drug
rythme,"rhythm, rate"
douze,twelve
espagnol,Spanish (m)
saison,season
dos,back
consommateur,"consumer, customer"
rêver (à/de + noun),(to) dream (about + noun) | dreaming (about + noun)
quantité,quantity
persuader de + infinitive,(to) persuade + verb | persuading + verb
annuel,"annual, yearly (m)"
commentaire,"comment, remark"
marier; se marier (avec),(to) marry | marrying; (to) get married (to) | getting married (to)
spectacle,"sight, show"
célèbre,famous (m)
ouest,west
sexe,sex
accent,accent
concert,concert
religion,religion
théâtre,"theatre, drama"
équipement,equipment
descendre; descendre de + noun,"(to) go down, ride down, drive down | going down, riding down, driving down; (to) get off + noun, get out of + noun | getting off + noun, getting out of + noun"
patron,boss
abri,shelter
recette,recipe
généralement,generally
soleil,sun
ennemi,enemy
dialogue,dialogue
thème,"theme, topic"
porte-parole,"spokesperson, spokeswoman, spokesman"
forêt,forest
outil,tool
vacances,holiday
suffisamment,sufficiently
défi,challenge
calme,"calm, quiet (m, f)"
montagne,mountain
apparemment,apparently
magasin,shop
écrivain,writer
chien,dog
indispensable,"essential (m, f)"
conversation,conversation
féliciter,(to) congratulate | congratulating
euro,euro
compétence,"competence, skill"
sain,healthy (m)
intégrer; s'intégrer,"(to) incorporate, integrate, include| incorporating, integrating, including; (to) become integrated, fit in | becoming integrated, fitting in"
pierre,stone
régulier,regular (m)
boîte,box
hôtel,hotel
là-bas,"over there, out there"
église,church
découverte,discovery
artiste,artist
coin,corner
uniforme,uniform
grève,strike
achat,purchase
original,original (m)
surprise,surprise
capitale,capital city
chanter,(to) sing | singing
neige,snow
étroit,"narrow, tight (m)"
goût,"taste, flavour"
